strategy,status,tree_independent_one_pass,observed_effect,reason
Replace full per-column internal network with exact root composition/length upper hull,KEEP,yes,"same or stronger on completed 8/12 stress tests; ~46-48% variable and ~57-76% row reduction","upper hull built over every feasible root composition and both length endpoints for every root candidate"
Old root-only with at most 60 first-order facets,REJECT,yes but not strength-robust,"weaker by 0.0022468 on seed-5000 case","facet cap missed an active upper-hull face"
Empirically omit root pair moments for root sizes that looked inactive,REJECT,no,"other random alignments made those root sizes useful","depends on particular alignment/tree optimum behavior"
Certified site/root quadratic pruning,KEEP,yes,"exactly identical on homogeneous/near-conserved tests; up to all quadratic rows removed","prune only when all feasible compositions fit an affine simplex so quadratic features are affine in first-order counts"
Omit whole root-size pair layer only if every site has above certificate,KEEP,yes,"removed all y variables for homogeneous and singleton-minority test alignments","pair moments cannot appear in any retained likelihood facet"
Omit pair linking bounds for root side size a=2,KEEP,yes,"88 rows saved at L=12 test after other additions; no objective change","nonnegativity + pair-degree equations imply y<=x and Frechet lower bounds when a=2"
Flow-k per-taxon packing sum_{count k} x<=1,KEEP certificate,yes,"usually redundant numerically","valid antichain invariant and protects future projections"
Equal-child-flow weighted orientation,OPTIONAL exact,yes,"no objective movement in tested cases","valid symmetry break only when two lower arms have identical transition/length families"
Exact upper hull in full quadratic feature space,REJECT,yes,"Qhull produced thousands of facets/numerical failure even at 8 taxa","too high-dimensional and degenerate"
Fixed cap of 20 root facets,REJECT,yes but not strength-robust,"one stress case weakened by about 0.0025 log units","no global error certificate"
Drop lower McCormick planes in retained anchor network,NOT DEFAULT,yes as relaxation,"no loss in several 8-taxon tests","not yet proven/retested sufficiently at larger sizes"
Split-type aggregated site network,REJECT,yes,"did not recover rare root-only gap","loses copy-level state allocation"
Three-contrast long-path representation for retained anchors,KEEP,yes,"same tested objectives; saves one variable per request/site","(P_long-P_short)1=0 for row-stochastic transition matrices"
Taxon-pair-cover anchor selection,KEEP for internal-length coupling,yes,"2 anchors for fixed 8-column set; 5 for simulated 100x1000 random; 20 for low-variation simulated; worst singleton construction 99","columns chosen before solve to distinguish every taxon pair distinguishable anywhere in alignment"
